iteration	log_density	v	w	x	y	z
0	-24.542596698990057	25.669937796678518	24.76392031517634	24.051829993121814	27.00878267016909	24.753563943561847
100	-1.0109998777622753	24.801933041239312	25.19079529573506	24.938180031790534	25.068340894399924	25.431446274103713
200	-0.7043978607784499	25.181384190983024	25.19079529573506	25.01672962578614	24.790802372363768	25.297978287513345
300	-0.6857400820567404	24.846377355010663	24.911502357201297	24.65788646826649	25.038908173429206	25.219098653103266
400	-5.786595458041832	25.13157110307963	24.592923595870456	25.871062952558283	24.710344455511564	24.446970393803927
500	-1.7939159160335616	25.138729045508732	24.841394889338947	24.562264791062706	24.934977127914213	24.548323827961948
600	-2.7769397720172084	25.138729045508732	25.463664944896706	24.372549295362113	25.039322584276235	24.817706432324808
700	-1.321488823333672	24.980603025821644	24.967592907858812	25.344153523936633	24.896616011454032	25.456850766540263
800	-1.1228453797692146	24.980603025821644	25.04221666159783	24.976643685531677	24.92734232127774	25.53585711710965
900	-1.5843049478427753	25.386619692159275	25.434179541314354	24.821307341048165	25.139778949642086	25.090645925882377
1000	-3.6039082401195834	25.291499905122357	25.576310542208972	24.40612962746905	25.112560646696366	25.25301253483067
1100	-2.125014232333857	25.174865213845617	24.76413778263717	24.81005708569069	25.23084677981049	25.585023768068183
1200	-1.0969291992456278	25.125223844412936	25.39824294609103	24.81005708569069	25.2805189268248	25.017866427514264
1300	-3.235655268460822	25.157258341848635	25.81438081464172	24.92198528571683	25.21568609128998	24.84480264041014
1400	-1.134267134580683	24.809284889297096	25.065473861337967	24.558723821902362	25.00355515192528	25.24953512395842
1500	-2.550809376510289	25.26754834903026	25.2529817419952	25.466225500700617	25.444111980190307	25.24953512395842
1600	-4.308789563440161	25.637832801678183	24.53209937232334	25.4308756547369	24.813666994725175	24.603795391018195
1700	-1.0062703964288975	24.913337433740427	24.71735248624859	24.749818373889944	24.85512878224424	24.68656434514785
1800	-2.478330335771291	24.410332638058716	24.89941322879623	24.640928770621425	25.057251799220577	25.326051623725142
1900	-1.0498123380912672	24.96723441611019	24.92003812088237	25.16836194956709	24.540935700565335	24.82015793793108
2000	-2.727942459376733	25.536868672188966	24.67805904641857	25.195338230701157	24.53161885376802	25.049013910337102
2100	-4.629544815544381	24.78633377985602	25.729283832315414	25.356881376842402	24.45721096677262	24.72632113229021
2200	-0.4034964840695844	25.32601606756105	25.013566079793094	25.114220074979155	25.064476823191587	24.89231210122703
2300	-0.4838021392472578	24.684961803188727	25.09087093251783	24.85285114017663	24.88676349281878	25.105520142371486
2400	-0.4041369490098372	24.710087890691607	25.11828085058679	24.85285114017663	24.88676349281878	25.053836102434754
2500	-1.9770013483728235	25.346176772257706	25.25113758052342	25.490208099394003	25.242544188989054	25.053836102434754
2600	-3.5590744276220736	25.521002655806964	24.955138524098743	25.203991638386416	24.694899512740744	25.6544883592582
2700	-2.2669449598370015	24.764375076463228	24.642334254326087	25.571524163357914	25.158148836536263	25.119480257322742
2800	-1.8975474528097784	24.843123323819626	25.178469539467134	25.236311021065262	25.588651641834982	25.09201461218716
2900	-1.632286536571156	24.757323210153032	24.645154249162335	24.60331860192255	25.181239865024125	24.817452501339996
3000	-1.8048064246359026	24.74656426773049	25.475503923472505	25.164592873594565	25.331030272214104	24.859759539169566
3100	-1.9805427016665815	25.637707240473436	25.076116560702236	25.164592873594565	24.837202753732416	24.859759539169566
3200	-1.3437829428712877	25.239821049913445	25.09845409130854	25.164592873594565	24.848745477434452	24.52350535961363
3300	-4.486373955564443	25.36952445101385	24.793875806629867	24.776441521472083	24.975711853035335	25.901650142245067
3400	-2.8632623227524765	24.7613528396141	25.547220184607028	25.458770244869033	24.74992291191381	24.77092745628919
3500	-1.210405209878009	25.205293840806426	24.97987300460179	25.343388940779857	25.294461806768258	24.740366879046835
3600	-0.8064886369764167	24.686794403725223	24.930419186566827	25.0399999583204	24.89321439774079	24.670027122729913
3700	-3.387510590820167	24.815985691293644	25.45985052944214	25.6556311121607	24.880304969322513	24.670027122729913
3800	-1.0504372065459502	25.275941876611828	24.758171525367615	25.31823459828654	24.880304969322513	24.830264325210145
3900	-1.5810519219432813	25.09645522959497	25.109526171117388	24.460545864207553	24.880304969322513	25.265164877678068
4000	-7.160605721821064	25.09645522959497	23.89610551576084	24.47281529168249	24.651347114971827	24.90262792665513
4100	-4.7341874337924885	24.552719169166377	25.640732672771925	24.694210213771143	25.241726095059057	24.42111395486658
4200	-1.634613611292365	24.645299055117746	24.695484585734874	24.843337969968925	25.20012459748027	25.35456596630239
4300	-1.0295429301786454	24.645299055117746	25.268364671071005	25.108878587556333	25.086767887328477	25.239116178912557
4400	-1.0133384693147902	24.727714352637	25.053620670105484	25.369975408183926	24.983485704204853	25.237953674367226
4500	-0.8578229951546074	25.126263707649354	24.960452133120718	25.3786433693809	25.025708025757027	25.273301793128876
4600	-0.7463000722286276	24.630665842544097	25.080316572443795	25.172823142970703	24.96366212775298	24.806602718746763
4700	-2.5242698490844386	24.893869957004473	24.414285217669633	25.359932031252896	25.298673187598393	24.81704775963951
4800	-3.8491630651612914	25.08009925552557	25.668900616797806	24.421079086988602	24.734395019888836	25.203555924613337
4900	-2.484318406078847	25.107883025133283	24.91497398480955	24.517935917104765	24.45742573161822	24.771888691452894
5000	-1.8839918688976578	24.9151367145836	25.17673284307198	24.964245325008733	24.71102387463417	24.416007032416253
5100	-1.2097184094750286	25.506681613686784	25.139571575646638	25.156385385758337	24.926106314017794	24.908851964297025
5200	-1.531892924277134	24.57810138570231	25.310218691874976	24.83081432101533	24.926106314017794	24.721239707307017
5300	-0.5815804549185886	24.657620297989247	24.777292463966386	25.034332573728907	24.926106314017794	25.037193964166025
5400	-0.07683909364153307	24.977408080168697	24.777292463966386	24.905435727052733	24.952615199845376	25.037193964166025
5500	-1.9050369520492274	25.151511683970018	24.58595502564651	25.0278402932018	24.62263260686025	24.63754161386202
5600	-0.23763023239875147	25.21049757404239	25.115489838577233	24.927118353686666	25.051158125326722	24.81879432144216
5700	-4.499357275750389	24.682940371795997	25.710453225906676	25.1587966751571	25.422845860402663	25.485979806092477
5800	-6.102636137828485	25.307922288484153	24.050456919274428	24.738799773680164	24.52950777369628	25.34016095028733
5900	-1.934272825429899	24.822117822013627	25.221008723337295	25.169673048372726	25.049596567586285	25.60308168355015
6000	-3.6891911046083763	25.33448901784009	24.786666651563927	24.90040903260339	24.16722524548208	25.06781498055712
6100	-2.2501662633677175	25.579953682262765	25.180052483388483	24.90040903260339	25.404003624664774	24.93885029173687
6200	-0.5850072435501836	25.074927201860845	24.986789980608307	25.321299972046287	24.81690895948601	24.81817091098303
6300	0.08674503163647374	25.024688073102503	25.0396275499028	25.07896129108119	25.110681719490703	24.924747402709592
6400	-6.01043655941149	25.45200804241723	24.044122780490618	25.486174055278436	25.160751070358536	24.967770817519572
