iteration	log_density	v	w	x	y	z
0	-48.11724894660939	27.035909700844503	25.094056843804044	26.686668420069335	23.550107189970966	23.720346149233553
100	-15.411948992804282	10.947411874074472	15.88522340491032	15.25138420805564	4.548979498206624	10.96716400314161
200	-16.316789886338043	8.969429595671144	19.557687407750592	16.231100810991695	8.59894050328506	10.0318589904125
300	-13.37683753770572	14.546763379508745	11.627963075507594	15.369489065465084	13.261416289456362	6.788684459938514
400	-15.019014665070264	11.948870435937584	11.051295761188854	17.344199174915317	18.784637814233527	12.889725629665024
500	-12.223615825658685	11.283790443234276	14.297334058632218	12.377482454060312	7.524182841135412	12.052244562996533
600	-11.805605286643699	11.671096767921448	11.527542500582049	10.987456800653476	8.218039480098529	13.668774823483648
700	-16.96640071178488	15.551627038608208	14.604036894349646	4.8277261105890075	18.33610238727106	12.59684220551387
800	-14.117920668447828	5.142024543529103	15.284461086408928	11.037163780820212	13.002325911178684	12.561360852353609
900	-12.181053787289901	10.970515927179232	8.647755527286165	11.713914871447134	14.388390713784963	14.668165959808974
1000	-12.948104872524446	12.829780782957604	16.58567112976052	9.046594612458781	9.192554462330628	11.170304394016341
1100	-12.440307686548254	9.367782352969797	7.59777212906599	13.376780252241073	13.288116724151738	11.920208946157398
1200	-15.384579354030484	6.464618395803122	9.90943994987428	9.35831548374587	18.03696877616592	14.105190071902616
1300	-13.823182427012567	13.509551627715295	8.53857022698955	8.673332759900998	10.510409244292964	17.216821132791495
1400	-14.760749462486794	10.392948848496824	5.179882355011609	15.778087099069843	11.008017996743778	14.69864384240695
1500	-15.050455633544496	4.478821358687647	13.758055853494707	9.854175455926963	9.112965824686235	9.937583857885246
1600	-11.89946534831653	8.747847458777255	12.160993267830689	9.740798682057868	12.114932433270496	9.898919799676646
1700	-12.603051203475793	7.382279211517945	13.2768355578838	14.042096560759752	14.260601020302548	12.751377924362538
1800	-11.64158599284387	11.401231532956558	12.363002298448663	14.54140195681968	9.690320239321426	13.79128049275945
1900	-12.156151405640177	12.5216248011266	12.482494745060993	7.551333835924744	10.18343352478433	13.076598380300833
2000	-11.957672428808706	12.383654324386622	10.034767841930206	11.377723092885896	15.194723468493343	9.435031026517976
2100	-13.216552492444547	13.555890518701263	13.397711982195665	7.81350016453998	12.88531846837288	16.599647583376985
2200	-12.310717555082801	12.598270755030356	12.34767558846527	11.87273842506825	14.035747525025355	16.785125188291396
2300	-13.162161293386378	11.048650270100534	16.733754970210743	9.838777411773377	14.815086117218488	9.363034942868335
2400	-16.6604401138323	5.233488190422969	15.291990949787728	6.732310020935482	8.769473233938312	8.67976635672359
2500	-12.09503439781884	11.127413275969161	8.157484465236045	13.578795005122815	14.366049737173968	11.806925689770186
2600	-17.261860266090952	7.220773637094155	10.017321749524228	11.3231307041274	15.095728882704332	3.064477936947444
2700	-14.977939868203114	13.744369828444011	15.503094752922669	17.557702686274837	13.37871766193754	6.761367170499401
2800	-12.255698803762082	13.129054941139712	10.533420009233138	15.838807502974571	9.713826169626067	10.22300830275495
2900	-10.927750089655763	11.675747420203157	12.948399093284005	12.528218227888024	12.121406247754189	10.840291482198841
3000	-12.77631659590869	13.701773643068679	16.002957416825282	8.865438302445662	11.522663731843313	9.36476814190957
3100	-13.837716204904426	12.879729916478892	15.703854379245582	6.987483708671394	9.14146687715136	9.310450726276216
3200	-11.955795411188877	10.440302091115282	10.54678736469172	8.517249099043237	12.701686126142656	10.004582150366712
3300	-15.040387669890139	10.73894679645521	19.138595618766026	14.535313253190944	9.008452880087832	14.956989142099873
3400	-13.007024632139371	7.890806159812792	12.087065881824673	8.39359189864013	10.248798889488562	9.334614295667837
3500	-12.442258953717449	8.195395375504921	10.083636445562659	10.663848136529339	9.084431404174932	10.787098401533695
3600	-12.444575601662935	11.166518750442151	11.552317174942615	8.680646165695077	16.246483454850654	11.98282162835536
3700	-14.342374566115048	14.95942663034937	15.206917600767454	15.711084057558391	12.422913607915126	17.577902086885757
3800	-12.794420382483843	12.311562336450478	10.665389696337222	11.027085431386979	17.729830431579234	11.233469908306612
3900	-12.247711357288347	10.038701845093769	15.756915309500968	11.939176252437711	13.299065658644453	9.401883951086365
