iteration	log_density	v	w	x	y	z
0	-20.228390874861407	23.82645659242439	25.81743879622643	25.594243785283133	23.555090600686132	24.76653992234789
100	-2.15381916804961	24.81400569784107	24.70080386388594	24.45867709948979	24.77894484891817	24.758705138201368
200	-2.478042492940398	25.139766077528485	25.36473375805727	25.569573390140985	24.726491916293597	24.789061337071704
300	-7.423098402962522	24.702555930710194	23.847448570660987	24.542482074580956	24.925361606731574	25.25187478774865
400	-0.7783033116102824	24.947089825775816	25.36996504236086	25.150658872247877	24.768851305971495	24.947467561404917
500	0.005066026880139907	24.947089825775816	24.83299786621698	25.10696016096464	25.01978063428367	25.044250048333126
600	-1.6750532322826848	25.430219783373754	24.921466504086663	25.14087533086837	25.439352220675545	24.88292717543586
700	-3.671292144809895	25.584125676212565	24.648336332449006	25.363809914584802	24.555982643109093	24.741024537322087
800	-2.16150775963826	24.497989250540115	24.648336332449006	25.038452765039825	25.041264691757746	25.38350533164875
900	-1.2392577133469178	24.480790257290227	24.837473415077	24.930557761543927	25.113953968964235	24.91518241344276
1000	-0.8660746296375653	24.823225272240954	25.249445462940276	25.2450502660541	25.144636711859373	25.252238128405054
1100	-7.473593355926866	24.775019455178377	24.335452675120965	24.7575096914947	23.96122080189564	25.276224832578897
1200	-4.885554492234035	25.647910663403398	24.95027080534376	25.631952946619368	25.064459763310015	24.44727695275887
1300	-5.1191850674379715	24.192761465130786	24.93897053901807	25.582979365186134	25.29829241975571	24.685358099214067
1400	-3.2448489714571855	24.192761465130786	25.009167520864334	25.040971756876022	24.861888248236795	24.693062364577276
1500	-2.502348375220108	24.732846998614495	25.009167520864334	24.653561697043756	24.437863685025786	24.693062364577276
1600	-0.7070420312232069	24.7081013716155	25.037506980811486	24.8975178523711	25.121798405819288	25.30129093175405
1700	-3.3992221958518964	24.638697256752987	24.412143822505467	25.264522046089503	24.51567130182984	25.142571915305286
1800	-1.583845386492099	24.638697256752987	25.285911022932037	25.03857744965578	25.093345921290066	25.418430370272976
1900	-0.7438014173956805	24.962229528630115	24.952666702639874	25.03857744965578	25.17958347018182	25.41651952080799
2000	-0.4955187487388525	24.657456516185984	25.127901258450873	25.03857744965578	25.003565541020205	25.143263302542692
2100	-0.8615937427863928	25.082176413794848	25.42148097992748	24.98913754414318	25.189674167821455	24.871249803327036
2200	-2.2278414369656865	24.741058574967266	24.531475559754174	25.31193258230171	25.222258275825528	25.32774103249464
2300	-0.9354291977937651	25.15192451725043	25.01340822747641	25.27525248402602	25.222258275825528	24.675878967508428
2400	-0.43349174251459244	25.011149916737345	25.01637404633764	25.1061338522209	25.15882389394734	24.675878967508428
2500	-1.124360104418236	24.784151808255427	24.9640182980405	25.240279961613513	25.398346114314197	25.176531551751243
2600	-2.1853908138024005	25.311225498773442	24.9640182980405	24.48431846981161	24.73149297839351	24.69166941904106
