iteration	log_density	v	w	x	y	z
0	-11.717401816995928	23.884627814549365	25.31110316304312	23.87532250950865	25.186556404638534	25.094492485738215
100	-4.353387931620365	24.57255370707851	25.203875560121816	24.13069389330156	25.062323681140864	25.170796410729306
200	-5.018959489576541	25.11435867141716	25.231984046254244	24.4765271519091	24.108355733398202	25.158054756332575
300	-0.9577211376536506	24.942643044203407	24.9184254634361	24.837949543301107	24.578452954273242	25.21101002603391
400	-2.321446908716746	24.86693058370706	25.60957281750297	25.205181882353944	24.64386779246768	25.057145836472387
500	-5.11236092924648	25.58991475887361	25.74005857905467	25.1434653589301	25.32770065445023	24.602471567722223
600	-0.612858756995793	25.202662958897076	24.96516518535316	24.73147469354796	25.253745381967082	24.945069718076816
700	-0.18951065913808773	24.94768443893361	24.830491669814027	24.820188973551065	24.998766862003617	25.154643982404053
800	-2.791594617364282	24.28077844248224	24.705860659270527	25.15497492473233	24.982062742776602	24.80551970372775
900	-0.410557822445313	24.938175316054778	25.181762505629113	24.705681837770502	24.982062742776602	24.885828877900085
1000	-3.877721962963758	25.04698164369878	25.26254369900054	25.45801681069127	25.203349406573068	25.764888189404285
1100	-0.9218281332518931	25.324558119587664	24.884590593680652	24.810796719690785	25.05377095802572	24.694862335504858
1200	-1.289070875590888	25.226700507174392	24.636139282884802	25.25395183602219	24.81706019975681	24.77568159480246
1300	-0.6142315641108322	25.182370753413714	25.23016569766068	25.20962208226151	24.77273044599613	24.983492583907683
1400	-0.509106377032842	24.62394028644993	25.034766782789376	25.068792237769372	25.104779697159444	24.980031137335782
1500	-2.441979636021124	24.398335246598407	24.6820336366616	24.975945247064207	24.71843273517788	24.787150050132126
1600	-1.669462460017841	24.695075989169865	25.316581076104384	24.80383211100471	25.352980174620665	25.245595974284758
1700	-1.3055422365628915	25.225473838748925	25.357724110432446	25.03890308227581	25.394123208948727	24.99141213030486
1800	-1.6197843835140513	25.225473838748925	24.99449175711009	24.64448018858067	24.562779473922927	25.192696567354147
1900	-1.7719876747400898	25.12214718165612	24.841581390907454	25.115121204810677	25.615591434302406	24.91539655660901
2000	-1.73637177456667	25.433891644943042	24.689554386473166	25.014297878125223	25.053422234366774	25.37916802433022
2100	-3.3853427682136923	25.43956860550881	24.695231347038934	25.01997483869099	24.435336795418728	25.438811089935495
2200	-3.610450948990518	25.1754601287663	24.40845561184625	24.921562349387962	25.678023933601086	24.963294511635397
2300	-1.0880047840767237	24.851904785874837	24.610369154920438	24.777606687235295	24.94901087952562	25.248154339740257
2400	-0.23742183988062826	24.984321380784127	24.79358282393114	25.02083238140461	25.107565185085516	25.20858351159073
2500	-2.478123002292442	25.131191807044782	24.470159025421975	24.94307802599501	25.029810829675917	24.457572811779535
2600	-2.087932519610028	24.785002458007675	24.848685544640716	25.489895593682355	25.447625556460668	25.010171758335815
2700	-3.65964925059528	24.429380249126883	25.53960417332485	25.17204169350893	25.434288970490666	24.845483430826324
2800	-3.451936996637864	25.3466779451736	24.911434600571166	25.288446614928322	24.324223029705685	24.619478622474627
2900	-2.1572137668031632	25.515238850732864	25.246423508151732	24.98664553345191	24.876797809702655	24.571709332110096
3000	-1.6881148319439068	25.397765528090726	24.588052079176393	24.838676106004183	24.771401070713257	24.87941785145782
3100	-0.9524887340130149	25.16107419936181	24.931572683097176	24.75127095739683	24.910526409527783	24.60405794998694
3200	-3.7541489518154236	25.62006368479765	25.19401346944253	24.759196569361382	24.416883533605105	25.244394796971772
3300	-1.2421824531271954	25.12657858260358	25.22963721547183	24.779393206972998	24.79007112769883	25.400190539068426
3400	-0.7174303445208781	25.361080847197957	24.855012880143907	24.87718914884885	24.847484955927015	25.12365184091657
3500	-4.57557548411775	25.755494618573636	25.413995446296337	25.305582080994057	24.656034463197823	25.329457591087927
3600	-1.5032466356715801	24.553874414832283	25.185126578286056	25.131371250980912	25.181900383957487	24.690139443928253
3700	-4.199090582411365	25.410024603321958	24.12513945843571	24.805976710945504	24.913072524241493	24.994214279432367
3800	-1.069180442048073	25.352261699447986	24.773636218617476	24.983918352617412	25.323154196367955	25.056429891328197
3900	-3.0097022029051748	25.719116631494014	24.692853541340014	25.041881899333255	24.68280497702175	24.975647214050735
4000	-0.5353595138994999	25.20178549866764	24.829655801783165	25.097871243004096	24.73879432069259	25.130506167278202
4100	-1.1955180180527	24.78316675487979	25.028696741325916	25.301636096676976	24.73126285291138	25.316593306565103
4200	-1.5992984720653909	25.25857006097476	24.840737495375187	25.01984170803126	24.526062509529538	25.289432202208854
4300	-1.5529225335772612	24.87878203352143	24.665604963083712	24.92656746976798	25.35049332221744	25.36870985083552
4400	-4.308277804153813	24.459101733126126	25.513840408523556	24.897040048823918	25.544395909053055	25.373402341972334
4500	-1.8691244910330225	24.903773733757063	25.042526746874845	24.572033316207037	25.47438853584433	24.79579957542983
4600	-1.2942834459106862	24.82693671367086	24.484582824937394	24.953079102768093	24.84754679620841	24.889664024691992
4700	-4.0702332959780945	24.49711847835616	24.568350910346748	25.53258785649839	25.4525108582316	25.14991472295329
4800	-1.3485707874807984	25.13330902947875	24.83991584382845	25.54300232512561	25.083528812352917	25.00777010390613
4900	-0.464800107722972	25.099888844632357	25.355676998257927	25.059694057461282	24.98659490514356	25.09309525589769
5000	-1.449858204398725	25.258424578485474	25.176754599451527	24.875523417099476	25.3880122923313	24.677940841638456
5100	-1.4624139472508557	24.99193962157468	24.84569492555935	24.614939504292597	25.34183212667408	24.7143606074667
5200	-2.368955217843936	25.596917519655417	24.921712696027708	24.885156726085473	25.433347681809746	25.092847584812326
5300	-2.111543360942161	24.798495202607068	24.994794357055625	24.695342319872395	25.61734312847918	25.016629336562424
5400	-2.4159721078770984	24.718070957309322	25.23573295953706	24.786630907228517	25.45928702986109	25.436992598387445
