iteration	log_density	v	w	x	y	z
0	-32.54670605614536	25.365464618157112	23.807585533904632	27.069298249148005	24.86387014915482	26.19258665043391
100	-1.5510638523175806	25.17349692154316	24.847814126373404	25.530203538207534	25.081266606070283	25.222044770808832
200	-2.2279846251109054	24.74371293273609	24.55716828744193	25.405108690321903	24.88408592082602	25.31840286199962
300	-1.7577739395176835	25.331339588893705	25.303967113574842	24.59928739400948	25.122798274601593	24.75836123627364
400	-1.6397625049774534	25.035720322235363	24.94915836786555	25.45428900877824	24.93839519639624	24.55732404769438
500	-0.3645363249261755	24.743042139573607	24.88567488545987	25.033360479429184	24.80154487573975	25.083773144281352
600	-1.3250446443224577	25.020565080525554	25.345862147458696	25.22382207119173	24.80154487573975	25.3612960852333
700	-3.739971292434549	25.435614017351284	24.850331390889973	24.77161448314559	25.077158974156653	25.778739888964147
800	-0.5061879542799479	24.92603813786881	25.100144134771195	25.122171789170437	24.92965146882458	24.649690216158657
900	-1.894804114546929	24.84282307871503	24.72555831239333	24.426473674119336	25.087838394732582	25.173209485137
1000	-3.5556029738072636	25.01641815665137	24.809978797390624	25.62358926694045	25.31725407191826	25.556639434605376
1100	-0.768140466577127	25.383045267940595	25.06146264137487	25.15921373674138	24.82270271529834	24.905036817477622
1200	-1.403548655365277	25.339430272933914	24.97035966713851	24.519657379248592	24.9029759797929	24.96435807036564
1300	-2.621682711125503	25.10330322562743	24.337135429292818	25.0688429758179	24.594444705010666	24.905525087086158
1400	-0.65791434024086	25.10330322562743	24.621549555773957	25.172913237068734	24.910488842565638	24.999324736474446
1500	-0.3436677138980694	24.947587490555787	24.82583225024447	25.169532432502407	24.754773107493993	24.99594393190812
1600	-0.5835938953882052	25.065464635549272	24.728576069322344	25.28931868355911	25.02598508672973	25.113821076901605
1700	-1.6999604571933702	25.360233519254855	24.819168479941084	24.85440393864388	25.07793728361771	24.516643889595752
1800	-1.4083974942059343	25.360233519254855	24.744020801709485	24.85440393864388	24.77768449657346	24.695588952704348
1900	-1.577858316302268	25.0508332170124	24.650674748982702	24.963819161458936	24.530305856834094	25.222948856305372
2000	-0.3637061914436821	24.9407053782082	24.951240001097762	24.766032838678274	25.02831223800436	25.25493683985223
2100	-1.2921287403931054	24.8853212994183	25.205415851351184	24.54019797886925	25.04958956623619	25.25203297264027
2200	-1.6576812179986118	25.509335313741826	25.126561648060925	24.6435046898316	25.063236000897245	25.086315657404427
2300	-1.3940544522232128	25.369385586995058	24.939047348483896	24.667617495428544	25.107244275844334	24.69462436918098
2400	-1.3771911488734574	24.688283400900737	24.792972280302944	24.90755470336426	25.18580912917324	24.5894535390779
2500	-0.36020917431277655	25.002018014876157	25.07601619028513	25.041010353490154	25.319264779299136	24.872497449060088
2600	-0.2965554364580093	24.81154761575589	25.134867787683476	25.079293008465985	25.160879838095653	25.16010210055453
2700	-1.9644503049115905	25.1194628672364	24.491460026914854	25.194184177399574	25.081212539640944	25.40615521572534
2800	-1.3245988869719998	24.65670548540469	24.98600722798283	25.12289555012484	24.96626399802069	24.546489523819574
2900	-0.791242205555945	25.268233324558594	24.941661400440477	24.991761220260095	24.663286789077745	25.180666067678857
3000	-1.9074461371138365	24.67366167364941	24.959636995525152	24.94482282457772	24.680856541922978	25.506417590276577
3100	-2.845513098363739	25.267886680962917	24.89095141364652	25.092597445321008	24.568751701835723	25.63224741501064
3200	-7.493258254377889	25.59565497057236	24.365269792184368	24.88586179161539	24.177790555304703	25.513838610861054
3300	-7.294884055264812	24.401674613226078	24.43018931089465	24.528739994471433	25.79660948919485	25.356847283765546
3400	-1.6358048910236165	24.58573624037218	24.834654490660817	24.803577007346007	24.79320452803379	25.358910905401533
3500	-1.3791353168909994	24.588489663509126	24.760310026145493	24.80633043048295	24.91752993207664	25.28456644088621
3600	-4.1381422718669585	24.744375808437024	24.9886727361643	25.904943962637425	25.26830155046608	25.09386500461152
3700	-1.0668992571461349	25.080690843277804	24.848569954032843	25.14749890008488	25.104911156725446	24.530437250468673
3800	-6.084926391687848	25.239440942874904	26.045863859498187	24.670241348523327	24.80811534577344	24.682058185168604
3900	-2.666259010769847	25.256435600156674	24.340814379459438	24.915206183523413	24.68663056700799	25.18008750503888
4000	-2.306621574119021	25.280865041945287	24.36524382124805	24.939635625312025	25.219014989804645	25.15740193634302
4100	-3.2316220793127037	25.358402026052485	24.970672841108275	25.017172609419223	24.291721702679666	25.363975136005486
4200	-4.511268596760256	24.4119262376347	24.911454546838947	25.214286050935478	25.014043352561856	25.805184548571383
4300	-1.1331496010802424	24.892340112232965	25.08444096364471	25.09992400968646	25.30466480530715	24.58060824678859
4400	-2.1051422253148044	25.063668045367393	25.290082727910093	25.595167790788416	25.118188249256285	25.238787378635852
4500	-1.3906782164448996	25.091717789205493	25.416578375197254	24.863705316561457	25.301644485554007	24.7487450080171
4600	-0.6540117651856648	25.005074556019203	25.172432283792023	24.71189769928231	24.863643513544783	25.244102594022802
4700	-0.8114864070267188	25.235186244194967	24.797676849802887	24.911206627759025	25.14127987375463	24.680870528302815
4800	-1.7155449886318674	24.906001207295496	24.799551310497502	25.24720631807201	24.696631438335224	24.525997762746936
4900	-3.679665114759338	24.39971799555366	25.001438931322717	24.767291729986663	25.345753196378595	24.42618017549869
5000	-1.6808266115844255	24.388003705456864	25.160746079636446	25.121761268363493	24.943776036676546	25.027497579850355
5100	-1.8263275222357125	24.772625520274428	25.430115433164723	25.34448003135482	24.690755572157126	25.021408216767778
5200	-1.818406638648173	24.839459190146975	25.25689456415639	25.442667224487014	24.615721896280988	25.119595409899972
5300	-0.7622950976522863	24.691555298102074	25.075334006310044	25.093011284303362	24.676741859186677	25.032302300588576
5400	-1.8311098751715793	24.45838239906869	24.84216110727666	24.734015089065032	24.847821180798068	24.79912940155519
5500	-1.1477016677108711	24.8110889513162	25.277936425903864	25.18503278989706	24.841140200421982	24.641893865023004
5600	-7.595506893083298	25.127139154131115	25.21660668738703	25.18503278989706	23.77201984495459	24.641893865023004
5700	-2.5652578982689476	24.448068511526213	25.24262573561614	24.62934279403432	24.706531844096297	24.830718661424687
5800	-2.1481005359407246	25.5440955478647	25.07760585373534	25.42043241197173	24.802956147918124	24.927142965246514
5900	-5.037982063405572	25.242892910286628	24.16537848031622	25.581774557024556	25.03301736098305	24.73539739114873
6000	-1.3088331393419592	25.038647452412103	25.143836696749688	25.442362253154833	25.13815053792303	24.68455736976814
6100	-2.5376821497288	24.58374275448713	25.27886484867694	25.56760179875114	24.84916157262637	24.88349062484876
6200	-1.0986471438171534	24.82074470229005	25.143338311967767	25.464835120048797	25.08616352042929	24.88349062484876
6300	-1.7212846802944792	25.434387217283106	25.23252859247677	25.00986687761014	24.98872314306689	24.56973707761737
6400	-1.7811461601107261	24.94345659796972	24.518965624823508	25.16719642279429	24.58929883350008	24.89903595339145
6500	-0.16691457537560572	24.830927345304897	24.93861985722615	25.02342575871314	24.8753517540621	25.185088873953468
6600	-4.200068349558443	25.61252145134635	24.560847322415533	24.647535552679244	24.49757921925148	25.185088873953468
