iteration	log_density	x	y	z
0	-43.74892157399662	25.411069089709944	27.670396149109795	27.512514479797545
100	-0.9891467039623028	25.09487742480401	24.69975362606838	25.293956739526337
200	-0.6017952605074579	25.196305541587975	25.109642684517908	25.22118926971605
300	-0.48763577566378263	24.83665579679055	25.14715256271298	25.160555588875404
400	-0.6002592827708628	25.216708725873392	25.226759039668867	25.0275393289104
500	-0.37661209416768915	24.79076880094858	24.938544911761692	24.95656095297974
600	-0.24693525942603006	24.877686385592366	24.938544911761692	24.95656095297974
700	-3.0850073562008467	24.677720196976953	25.6290376316799	25.38955663723266
800	-0.5844695599157869	25.222672534464067	24.833011821087712	24.86522681358731
900	-0.6597304187031713	24.83686179878067	25.089616407528425	24.72123238465053
1000	-1.0120609529133004	25.323897741526544	25.089616407528425	24.72123238465053
1100	-3.7845758424760185	24.69506863795971	24.585563390896017	24.263775976883768
1200	-0.5265561141027274	25.228061655146323	25.165774231435062	25.057175626763794
1300	-0.29143968160410283	25.156461788881746	25.062577306099946	24.953978701428678
1400	-3.0996504716965267	24.321607158387156	24.564731938295424	24.930100932108047
1500	-1.0213992778050722	25.11313808238304	24.580879248950666	24.93469315123404
1600	-1.5189258821603573	25.510550564925865	24.795580310063812	24.971024272295764
1700	-2.167132509191311	24.47367182897444	25.141233464997747	25.38777127748626
1800	-1.3380922831729922	24.94013689480412	24.674142527534656	25.391582627080297
1900	-1.8353518711567351	24.85600092740216	25.50827806047768	25.307446659678337
2000	-1.9173171972644405	24.597644084001452	25.24992121707697	24.59076976254446
2100	-1.355361106624121	24.765727067883848	24.90933288415216	25.45148291358623
2200	-0.21846911192876994	24.95370309674748	25.084806768367688	25.07044783303392
2300	-0.8514110593394797	24.864519466307506	24.67003834517035	24.833498991550606
2400	-0.3443376159976578	25.004645246596926	25.17877477635077	24.898573829325564
2500	-0.39051018281724625	25.174203722063556	25.132442024071494	25.068132304792194
2600	-0.5588493351745639	24.741842228523154	24.927932946220494	25.13453416958805
2700	-1.8821092726936393	25.21382909688173	25.259460883532796	25.52053190981663
2800	-1.1011151853278667	24.566282970523403	24.8728292462207	24.921519442008943
2900	-3.6215382907888785	25.779177066118688	24.607977460801337	24.901321166970444
3000	-1.3381096983480227	25.05679498506611	24.56491992678416	24.73431754450653
3100	-0.8074690172907248	25.30774838789133	25.194323672300573	25.112767887197723
3200	-0.8074690172907248	25.30774838789133	25.194323672300573	25.112767887197723
3300	-3.1521950929045572	24.677818926052346	25.139883254881617	24.263203131203653
3400	-0.971748920751165	25.059798841510087	24.77147641338338	24.645183046661394
3500	-3.3823420860378706	25.739396232627882	25.053273446091577	24.590321439853756
3600	-2.0228059865281303	24.827391007933077	24.76941997814829	25.57645574650826
3700	-4.697940074028088	25.999951154274026	25.08331421568161	24.94621421656283
3800	-0.48927481868159506	24.884062077018854	24.839257619913973	25.187610819504336
3900	-1.7330512959872226	24.548104636751276	25.265468845962964	25.276023874996298
4000	-1.2806475487589088	24.60778589666543	24.938694036215065	24.695454737403946
4100	-1.3417162346493892	24.724732541520932	25.36736920124236	24.76939935735641
4200	-0.6386734148474615	25.133595315040413	24.925230917402207	24.709760274153265
4300	-0.8980953430076798	24.821427694520096	24.781786972019223	24.707046853785727
4400	-0.4264173922647018	25.10593321335308	25.22184681484028	24.99155237261871
4500	-3.081227211982349	24.85969164491098	25.698611035267145	25.377787164901978
4600	-2.6142993661808314	24.64849593048038	25.65012104647934	24.977802576865848
4700	-0.44170289999486634	25.178047961121756	24.846525259460613	25.093007657785826
4800	-2.188348760029509	25.39685468558962	25.524210527400907	25.140567431469105
4900	-0.7148257265450443	25.145644657662338	25.315311841570995	24.937023539594744
5000	-1.3552241488973709	24.852523201835325	25.022190385743983	24.505359828145735
5100	-1.5946081755071657	25.393085004892132	25.38497442600195	24.868143868403703
5200	-0.5399915024168048	25.278753707993417	24.935062730498288	25.061866225106712
5300	-1.023922776634276	25.24228604752166	25.33616376525053	25.14689991752118
5400	-1.2305937867409422	24.537761562676174	24.913950978185813	25.13470811296605
5500	-0.6681254403325928	24.84147517493402	24.777970366229674	25.199486436859043
5600	-1.4511371986460537	25.469594331338957	25.252898103919676	24.93877547148569
5700	-3.1444656278307845	24.467060865547417	24.555307649467874	24.572513709323545
5800	-1.784958769904208	25.23417520980541	25.231988976924086	25.50373642609271
5900	-2.5681909794910665	24.618981393686393	24.443198498366712	24.714945947535337
6000	-3.269045219246648	25.61819258233125	24.443198498366712	25.00378271683497
6100	-8.460801320017826	9.315964775608645	9.82356130020398	16.350758511957228
6200	-6.920750419815964	13.035014770273127	12.772626324965056	13.216925187826078
6300	-6.8328292799799035	10.837204515253337	12.452205520054402	12.099750873249782
6400	-8.159448880927544	14.597123576681867	8.034108412532126	13.724047351258443
6500	-7.253903239336608	11.277166821582737	12.127135372010232	14.933805288394696
6600	-7.313895635031348	10.6836020741811	14.900208785464695	12.285680417543944
6700	-8.437272678369114	10.772652874491204	7.674462651674764	8.801584726589814
6800	-7.044081490081398	13.575641431172539	13.088985893544603	13.304046392690577
6900	-8.69718535099227	6.32005893550239	13.350705586557398	13.019218626658652
7000	-7.8380732577808025	16.36223720258852	11.282125788217828	12.341274395840019
7100	-6.859253049136992	12.038381301416369	11.895363173056477	10.575310818667678
7200	-8.208359614700253	14.806872337947528	15.159227564691793	9.090218512267318
7300	-7.361816105780571	8.788862806071766	11.190605459810742	11.65103771991298
7400	-8.374470820534336	10.21228260721714	16.23203502572985	9.134685496678214
7500	-9.317451466033807	8.386807079465289	10.506689246346793	17.568176781444784
7600	-8.20282130206364	13.250661213621887	9.25107687472641	7.86410130854077
7700	-9.170318737375196	18.487853652138583	10.7960030476294	12.315420304765905
7800	-6.989464612269305	12.633794099350997	13.758090579913585	11.054805870688352
7900	-7.430060936097631	13.514614716390861	14.394046751295225	14.071517712222873
8000	-7.437719998061203	15.002724292380943	13.703742891688009	11.268239576869362
8100	-7.681781512246321	7.947072964869894	11.597743635973302	12.50955456502323
8200	-7.33957771183317	15.029734577540609	10.808493847286227	11.70162664413883
8300	-7.86078254448893	10.744741822317398	16.138034203110593	10.829234433868459
8400	-8.161557215451106	16.79857505055338	13.406666048705445	11.308187627649904
8500	-6.913369373284679	11.423120644903019	10.374806301219914	12.205452522552886
