iteration	log_density	x	y	z
0	-41.176001189646485	27.725030050940525	26.596041651632785	24.634569486437513
100	-3.6455106987633856	24.87353540519242	25.863038896677647	25.122612619851562
200	-1.8068626195688384	24.465622580018135	24.72655359826884	25.083322636875305
300	-2.686121528060569	24.602464925335177	25.496443196331697	24.602286900890896
400	-0.7225784118573811	25.047589538764342	24.656647369876445	25.078530149951334
500	-0.6368091279768022	25.102046926448498	25.144399627556073	24.7243224550935
600	-1.2986456763404672	24.5852403343636	24.920539091860462	24.7243224550935
700	-1.7893164666239807	24.398524467704004	24.980186002770807	25.03478890464271
800	-0.37991150945270113	25.219687042151623	24.981225225325858	25.039492886399664
900	-1.3513991682266915	25.47951390479081	25.190066409483034	24.99862224011953
1000	-0.4880575548339609	25.05785865223845	24.794327706156228	24.831007943485705
1100	-0.8774115982250185	25.116761845710318	24.672199013314845	24.800893655232016
1200	-1.1645834403610242	25.416198462774453	25.20711468530766	24.90819333550601
1300	-0.4499166855783618	25.037370277436953	24.9289829361559	25.243498093509007
1400	-0.34360768541318837	24.86263110802574	24.871127864489523	25.081417568638958
1500	-0.6222858899780591	25.300163669579298	24.935010322396398	25.09855791926233
1600	-0.7367480735899963	24.953781300546535	24.903152384871248	25.34344717533706
1700	-2.784392374287842	25.46419344955404	24.974406607582043	25.606937457617924
1800	-1.5132265982114776	24.587598114333485	24.86212912882015	24.663936491403284
1900	-2.2407292379452963	24.544055151069696	25.158279310450354	25.480366091770627
2000	-2.3950999028461335	25.36265591247228	25.39735042758245	24.54328614367984
2100	-0.3244630960907279	24.91121526963149	24.960784547209443	25.168618287885387
2200	-3.5798454097947605	25.6953787216201	25.03668245048629	24.474287311954402
2300	-1.707306579760121	24.54838754454561	25.36915257974303	24.92983004939698
2400	-2.835615467478732	25.52793651649301	24.574707489027155	24.630817278213534
2500	-1.3736892313841393	24.5877444694752	24.828127357382847	25.267430818649657
2600	-2.0504562530464776	24.43589418132372	25.254006210275758	25.19665251701808
2700	-1.1177989393663965	25.215571984409785	24.716205653567343	25.295193241157932
2800	-0.886617916947039	24.771228856087827	25.309064391287937	25.122143220721146
2900	-2.0238458349083412	25.366955647510345	25.515603983557767	25.12243120770187
3000	-1.067703369962918	25.312567762044708	24.676217332099075	24.97801385673134
3100	-1.1768806296580463	24.634297970812334	24.805678256867473	25.236177712026457
3200	-0.20914054027496787	25.079897903877335	24.996630714249296	24.923642647129498
3300	-0.6739160216418615	25.33429338116726	24.95764119108853	25.04430100887078
3400	-1.5150937850785728	24.851271366989785	25.093021815149466	25.521214006215914
3500	-2.6833604115847915	24.556009566431282	25.58293067700062	24.841518356748278
3600	-0.5388900031715227	25.070080594134907	25.034223766450317	24.71818343727708
3700	-0.935355218442086	25.12956770274366	25.144121925642576	24.631153700011303
3800	-5.547036000657778	24.698737655863297	24.302813438850322	24.211586172989044
3900	-0.30742165015033446	25.011125268161837	25.13538955091157	24.875053543391125
4000	-2.1312954990897586	24.626641362453153	24.538379771902715	25.294756020552107
4100	-0.6386870469078196	24.911529829516905	25.143665960737607	25.2814487029276
4200	-0.6618163668195405	24.89602727378285	24.749499516108713	25.198139547698265
